wall_time,step,return
24_12_21_23_25_55,15000,854.617
24_12_21_23_36_14,30000,897.682
24_12_21_23_46_40,45000,1260.9495
24_12_21_23_56_57,60000,1962.2234
24_12_22_00_07_12,75000,2151.734
24_12_22_00_17_31,90000,3242.7056
24_12_22_00_27_51,105000,2806.7095
24_12_22_00_38_06,120000,3449.2192
24_12_22_00_48_32,135000,4835.375
24_12_22_00_58_48,150000,4251.792
24_12_22_01_09_03,165000,4166.2
24_12_22_01_19_26,180000,4751.057
24_12_22_01_29_44,195000,5035.997
24_12_22_01_39_44,210000,2616.9656
24_12_22_01_50_09,225000,5305.7915
24_12_22_02_00_35,240000,5901.8975
24_12_22_02_10_56,255000,5595.489
24_12_22_02_21_22,270000,6132.287
24_12_22_02_31_43,285000,5407.0117
24_12_22_02_42_04,300000,5603.829
24_12_22_02_52_12,315000,4130.6553
24_12_22_03_02_39,330000,6240.4536
24_12_22_03_13_06,345000,6165.7476
24_12_22_03_23_32,360000,6054.984
24_12_22_03_33_55,375000,5890.1377
24_12_22_03_44_11,390000,4942.2295
24_12_22_03_54_38,405000,6331.3037
24_12_22_04_04_55,420000,5002.547
24_12_22_04_15_19,435000,6144.2456
24_12_22_04_25_46,450000,6346.0405
24_12_22_04_36_14,465000,6358.1963
24_12_22_04_46_35,480000,5795.809
24_12_22_04_56_50,495000,4765.846
24_12_22_05_07_12,510000,5808.177
24_12_22_05_17_31,525000,5546.3247
24_12_22_05_27_57,540000,5873.738
24_12_22_05_38_18,555000,5879.0044
24_12_22_05_48_44,570000,6543.801
24_12_22_05_59_07,585000,6094.2056
24_12_22_06_09_35,600000,6517.4375
24_12_22_06_19_48,615000,4784.1567
24_12_22_06_30_14,630000,5868.71
24_12_22_06_40_35,645000,5909.458
24_12_22_06_50_54,660000,5404.5557
24_12_22_07_01_44,675000,5889.065
24_12_22_07_12_09,690000,6549.3877
24_12_22_07_22_35,705000,6461.0747
24_12_22_07_32_53,720000,5492.251
24_12_22_07_43_19,735000,6535.488
24_12_22_07_53_45,750000,6386.134
24_12_22_08_04_06,765000,6483.3916
24_12_22_08_14_33,780000,6549.522
24_12_22_08_24_57,795000,6518.828
24_12_22_08_35_22,810000,6576.05
24_12_22_08_45_48,825000,3218.7935
24_12_22_08_56_18,840000,212.82663
24_12_22_09_06_47,855000,4273.084
24_12_22_09_17_15,870000,6209.2026
24_12_22_09_27_35,885000,5692.9575
24_12_22_09_37_56,900000,5635.8877
24_12_22_09_48_21,915000,6456.876
24_12_22_09_58_43,930000,6174.1665
24_12_22_10_09_09,945000,6533.0073
24_12_22_10_19_36,960000,6545.8975
24_12_22_10_30_34,975000,6041.468
24_12_22_10_40_51,990000,5141.4653
24_12_22_10_51_12,1005000,5715.649
24_12_22_11_01_35,1020000,6428.198
24_12_22_11_11_55,1035000,5775.306
24_12_22_11_22_21,1050000,6499.6826
24_12_22_11_32_47,1065000,6517.7197
24_12_22_11_43_12,1080000,6606.095
24_12_22_11_53_34,1095000,6348.9014
24_12_22_12_03_55,1110000,1053.3157
24_12_22_12_14_24,1125000,5998.975
24_12_22_12_24_48,1140000,6001.808
24_12_22_12_35_12,1155000,5435.5977
24_12_22_12_45_38,1170000,6471.343
24_12_22_12_56_05,1185000,6222.325
24_12_22_13_06_23,1200000,5518.6514
24_12_22_13_16_48,1215000,153.80838
24_12_22_13_27_15,1230000,5736.0674
24_12_22_13_37_42,1245000,6207.1055
24_12_22_13_48_03,1260000,5643.7935
24_12_22_13_58_30,1275000,6426.3037
24_12_22_14_08_56,1290000,6514.9814
24_12_22_14_19_18,1305000,5877.2754
24_12_22_14_30_23,1320000,5937.062
24_12_22_14_41_56,1335000,5704.8228
24_12_22_14_53_33,1350000,5811.57
24_12_22_15_04_30,1365000,6183.157
24_12_22_15_14_56,1380000,6123.4575
24_12_22_15_25_18,1395000,5960.087
24_12_22_15_35_40,1410000,5723.2725
24_12_22_15_46_02,1425000,5814.823
24_12_22_15_56_28,1440000,6352.8027
24_12_22_16_06_50,1455000,6059.1494
24_12_22_16_17_16,1470000,6462.8887
24_12_22_16_27_42,1485000,6428.46
24_12_22_16_38_04,1500000,5875.183
