wall_time,step,return
24_12_22_11_40_04,15000,2276.9722
24_12_22_11_53_04,30000,6191.634
24_12_22_12_05_54,45000,7055.4155
24_12_22_12_18_45,60000,7527.388
24_12_22_12_31_41,75000,7660.3687
24_12_22_12_44_43,90000,7853.667
24_12_22_12_57_40,105000,8495.399
24_12_22_13_10_40,120000,8609.6455
24_12_22_13_23_35,135000,8617.164
24_12_22_13_36_33,150000,8751.485
24_12_22_13_49_35,165000,9116.947
24_12_22_14_02_29,180000,9595.314
24_12_22_14_15_26,195000,9496.497
24_12_22_14_28_18,210000,9377.144
24_12_22_14_41_14,225000,10485.497
24_12_22_14_54_07,240000,10716.751
24_12_22_15_06_55,255000,10839.748
24_12_22_15_19_56,270000,10622.574
24_12_22_15_32_53,285000,11489.618
24_12_22_15_45_47,300000,11788.289
24_12_22_15_58_43,315000,12223.274
24_12_22_16_11_42,330000,12358.881
24_12_22_16_24_40,345000,11356.015
24_12_22_16_37_33,360000,12042.199
24_12_22_16_50_34,375000,12032.131
24_12_22_17_03_33,390000,12846.11
24_12_22_17_16_19,405000,13032.638
24_12_22_17_29_15,420000,12995.35
24_12_22_17_42_11,435000,12567.943
24_12_22_17_55_14,450000,12366.424
24_12_22_18_08_17,465000,12688.377
24_12_22_18_21_19,480000,13504.096
24_12_22_18_34_21,495000,13059.955
24_12_22_18_47_19,510000,13442.182
24_12_22_19_00_23,525000,12663.804
24_12_22_19_13_23,540000,12962.404
24_12_22_19_26_30,555000,12992.806
24_12_22_19_39_37,570000,13908.764
24_12_22_19_52_36,585000,10948.679
24_12_22_20_05_39,600000,13935.717
24_12_22_20_18_43,615000,14022.436
24_12_22_20_31_46,630000,12275.863
24_12_22_20_44_50,645000,13281.771
24_12_22_20_57_48,660000,13256.481
24_12_22_21_10_44,675000,12279.278
24_12_22_21_23_49,690000,13393.935
24_12_22_21_36_58,705000,13194.555
24_12_22_21_50_08,720000,13179.091
24_12_22_22_03_07,735000,13052.198
24_12_22_22_16_07,750000,11055.896
24_12_22_22_29_13,765000,13073.82
24_12_22_22_42_14,780000,13594.299
24_12_22_22_55_11,795000,13549.959
24_12_22_23_08_03,810000,13105.785
24_12_22_23_20_55,825000,13692.036
24_12_22_23_33_49,840000,13870.487
24_12_22_23_46_41,855000,13618.8955
24_12_22_23_59_40,870000,13119.154
24_12_23_00_12_36,885000,12129.152
24_12_23_00_25_39,900000,14025.005
24_12_23_00_38_38,915000,13753.067
24_12_23_00_51_33,930000,12751.732
24_12_23_01_04_28,945000,13275.552
24_12_23_01_17_23,960000,13383.45
24_12_23_01_30_19,975000,13767.703
24_12_23_01_43_14,990000,14087.356
24_12_23_01_55_59,1005000,13798.1045
24_12_23_02_08_53,1020000,14065.216
24_12_23_02_21_51,1035000,13794.486
24_12_23_02_34_51,1050000,13839.862
24_12_23_02_47_45,1065000,13488.761
24_12_23_03_00_39,1080000,13283.786
24_12_23_03_13_36,1095000,13144.666
24_12_23_03_26_27,1110000,13605.347
24_12_23_03_39_23,1125000,13316.5625
24_12_23_03_52_16,1140000,13572.182
24_12_23_04_04_57,1155000,13670.736
24_12_23_04_17_54,1170000,13738.669
24_12_23_04_30_52,1185000,13854.025
24_12_23_04_43_50,1200000,13664.919
24_12_23_04_56_45,1215000,13354.025
24_12_23_05_09_38,1230000,13981.081
24_12_23_05_22_38,1245000,13937.814
24_12_23_05_35_37,1260000,13732.602
24_12_23_05_48_37,1275000,13789.1
24_12_23_06_01_35,1290000,13037.531
24_12_23_06_14_21,1305000,13541.447
24_12_23_06_27_17,1320000,13836.008
24_12_23_06_40_07,1335000,13246.974
24_12_23_06_52_57,1350000,14128.573
24_12_23_07_05_36,1365000,13350.87
24_12_23_07_18_33,1380000,13594.523
24_12_23_07_31_29,1395000,13975.725
24_12_23_07_44_26,1410000,14145.561
24_12_23_07_57_13,1425000,14226.445
24_12_23_08_10_00,1440000,13645.287
24_12_23_08_22_58,1455000,13866.533
24_12_23_08_35_51,1470000,13574.8955
24_12_23_08_48_42,1485000,13672.815
24_12_23_09_01_38,1500000,14253.023
