wall_time,step,return
24_12_22_11_47_53,15000,324.94373
24_12_22_11_59_59,30000,413.03214
24_12_22_12_12_22,45000,814.01355
24_12_22_12_25_39,60000,2201.8296
24_12_22_12_39_22,75000,3063.6963
24_12_22_12_53_09,90000,3285.395
24_12_22_13_05_31,105000,1016.722
24_12_22_13_18_16,120000,1673.6389
24_12_22_13_31_11,135000,2065.8389
24_12_22_13_44_50,150000,3318.5542
24_12_22_13_58_40,165000,3606.7983
24_12_22_14_11_22,180000,1883.1667
24_12_22_14_23_45,195000,1108.7668
24_12_22_14_36_24,210000,1804.3962
24_12_22_14_49_00,225000,1720.5254
24_12_22_15_01_26,240000,1298.2233
24_12_22_15_14_16,255000,2284.2356
24_12_22_15_26_53,270000,1710.6318
24_12_22_15_39_25,285000,1589.7446
24_12_22_15_52_16,300000,2333.1694
24_12_22_16_04_58,315000,1911.0793
24_12_22_16_17_52,330000,2329.2893
24_12_22_16_30_43,345000,2276.5156
24_12_22_16_43_07,360000,1258.5958
24_12_22_16_55_35,375000,1655.2434
24_12_22_17_08_15,390000,1959.2705
24_12_22_17_20_45,405000,1614.5746
24_12_22_17_33_15,420000,1654.4205
24_12_22_17_45_48,435000,1673.3572
24_12_22_17_58_20,450000,1624.5388
24_12_22_18_10_58,465000,2128.4514
24_12_22_18_23_37,480000,1907.8738
24_12_22_18_36_15,495000,1917.5574
24_12_22_18_48_58,510000,2135.34
24_12_22_19_01_21,525000,1243.8173
24_12_22_19_13_57,540000,1941.6179
24_12_22_19_26_20,555000,1487.3585
24_12_22_19_38_49,570000,1609.9928
24_12_22_19_51_19,585000,1541.1968
24_12_22_20_03_46,600000,1622.0304
24_12_22_20_16_32,615000,2185.4138
24_12_22_20_29_03,630000,1583.8057
24_12_22_20_41_38,645000,1719.0339
24_12_22_20_53_55,660000,1135.8978
24_12_22_21_06_27,675000,1575.5452
24_12_22_21_19_07,690000,2066.7747
24_12_22_21_31_50,705000,1996.155
24_12_22_21_44_25,720000,1707.0297
24_12_22_21_57_03,735000,1963.593
24_12_22_22_09_29,750000,1529.0142
24_12_22_22_21_49,765000,1309.2141
24_12_22_22_34_21,780000,1836.9498
24_12_22_22_46_57,795000,1889.9443
24_12_22_22_59_38,810000,2138.3242
24_12_22_23_12_11,825000,1757.5771
24_12_22_23_24_44,840000,1694.1221
24_12_22_23_37_14,855000,1653.8422
24_12_22_23_49_43,870000,1540.8857
24_12_23_00_02_15,885000,1683.8613
24_12_23_00_14_41,900000,1630.0524
24_12_23_00_27_08,915000,1388.6095
24_12_23_00_39_43,930000,1821.0505
24_12_23_00_52_21,945000,1913.7885
24_12_23_01_04_53,960000,1633.5565
24_12_23_01_17_25,975000,1630.7943
24_12_23_01_29_59,990000,1856.2869
24_12_23_01_42_32,1005000,1844.5092
24_12_23_01_55_03,1020000,1660.0862
24_12_23_02_07_30,1035000,1414.3936
24_12_23_02_19_53,1050000,1475.534
24_12_23_02_32_21,1065000,1493.4202
24_12_23_02_45_43,1080000,3376.5847
24_12_23_02_58_19,1095000,1771.761
24_12_23_03_10_43,1110000,1561.1516
24_12_23_03_23_22,1125000,1965.2051
24_12_23_03_35_54,1140000,1617.8279
24_12_23_03_48_20,1155000,1328.7843
24_12_23_04_00_47,1170000,1620.7253
24_12_23_04_13_28,1185000,2151.518
24_12_23_04_26_04,1200000,1901.6803
24_12_23_04_38_42,1215000,1889.1637
24_12_23_04_51_09,1230000,1597.036
24_12_23_05_03_51,1245000,2378.2456
24_12_23_05_16_37,1260000,2461.828
24_12_23_05_29_05,1275000,1651.2996
24_12_23_05_41_32,1290000,1598.4333
24_12_23_05_54_29,1305000,3008.0107
24_12_23_06_07_01,1320000,1680.1498
24_12_23_06_19_36,1335000,1811.2845
24_12_23_06_32_13,1350000,1898.9241
24_12_23_06_44_55,1365000,2215.5112
24_12_23_06_57_32,1380000,1933.3792
24_12_23_07_10_19,1395000,2256.676
24_12_23_07_22_44,1410000,1539.656
24_12_23_07_35_34,1425000,2287.2605
24_12_23_07_48_35,1440000,2787.945
24_12_23_08_01_28,1455000,2515.0696
24_12_23_08_14_39,1470000,3210.5486
24_12_23_08_27_26,1485000,2119.3164
24_12_23_08_40_42,1500000,3235.0403
