wall_time,step,return
24_12_21_23_27_26,15000,299.36514
24_12_21_23_38_51,30000,446.1789
24_12_21_23_50_25,45000,924.55066
24_12_22_00_01_59,60000,1191.3892
24_12_22_00_13_38,75000,1453.7273
24_12_22_00_25_46,90000,4613.621
24_12_22_00_37_53,105000,4547.19
24_12_22_00_50_01,120000,4762.9346
24_12_22_01_01_52,135000,3083.3494
24_12_22_01_13_39,150000,2889.6204
24_12_22_01_25_37,165000,4666.191
24_12_22_01_37_34,180000,4739.2134
24_12_22_01_49_11,195000,3466.2976
24_12_22_02_01_13,210000,5405.0996
24_12_22_02_13_15,225000,5776.478
24_12_22_02_24_32,240000,377.2109
24_12_22_02_36_12,255000,3496.8508
24_12_22_02_48_02,270000,4547.082
24_12_22_02_59_59,285000,5678.866
24_12_22_03_11_53,300000,5738.2256
24_12_22_03_23_45,315000,5125.738
24_12_22_03_35_41,330000,5708.8257
24_12_22_03_47_10,345000,2410.806
24_12_22_03_58_50,360000,3821.4187
24_12_22_04_10_09,375000,1252.163
24_12_22_04_22_02,390000,5619.8486
24_12_22_04_33_52,405000,6103.8564
24_12_22_04_45_47,420000,6560.9375
24_12_22_04_57_30,435000,5217.948
24_12_22_05_09_24,450000,6663.003
24_12_22_05_21_25,465000,7962.133
24_12_22_05_33_09,480000,5458.4697
24_12_22_05_45_07,495000,7894.53
24_12_22_05_57_06,510000,8019.825
24_12_22_06_08_58,525000,6888.15
24_12_22_06_20_46,540000,6180.352
24_12_22_06_32_42,555000,7876.4414
24_12_22_06_44_32,570000,6907.85
24_12_22_06_56_53,585000,7775.435
24_12_22_07_08_35,600000,5568.4775
24_12_22_07_20_37,615000,8334.054
24_12_22_07_32_34,630000,7864.2373
24_12_22_07_44_18,645000,6233.277
24_12_22_07_56_03,660000,6077.621
24_12_22_08_07_59,675000,8170.409
24_12_22_08_19_36,690000,5203.0615
24_12_22_08_31_09,705000,3818.1294
24_12_22_08_42_43,720000,3806.8801
24_12_22_08_54_28,735000,6123.093
24_12_22_09_06_23,750000,7881.426
24_12_22_09_18_04,765000,5919.709
24_12_22_09_29_54,780000,6778.6494
24_12_22_09_41_43,795000,6655.177
24_12_22_09_53_13,810000,3646.4165
24_12_22_10_05_10,825000,7829.5806
24_12_22_10_17_06,840000,8053.6797
24_12_22_10_29_23,855000,6096.1797
24_12_22_10_41_07,870000,5728.008
24_12_22_10_52_31,885000,2271.7131
24_12_22_11_04_07,900000,4734.3696
24_12_22_11_15_31,915000,2435.3457
24_12_22_11_27_33,930000,8883.682
24_12_22_11_39_12,945000,5041.282
24_12_22_11_50_56,960000,6028.13
24_12_22_12_02_26,975000,3319.1147
24_12_22_12_14_10,990000,5981.6177
24_12_22_12_25_35,1005000,2465.57
24_12_22_12_37_23,1020000,6537.1235
24_12_22_12_49_08,1035000,6285.3604
24_12_22_13_00_32,1050000,2467.332
24_12_22_13_12_29,1065000,8375.943
24_12_22_13_24_01,1080000,3954.5774
24_12_22_13_35_57,1095000,8110.7666
24_12_22_13_47_52,1110000,8234.914
24_12_22_13_59_15,1125000,2485.198
24_12_22_14_11_16,1140000,9662.141
24_12_22_14_22_54,1155000,5119.581
24_12_22_14_34_47,1170000,7696.767
24_12_22_14_46_39,1185000,7775.022
24_12_22_14_57_57,1200000,1418.938
24_12_22_15_09_42,1215000,6148.9414
24_12_22_15_21_36,1230000,7871.4375
24_12_22_15_33_23,1245000,6847.8477
24_12_22_15_45_08,1260000,6040.9146
24_12_22_15_57_00,1275000,7583.372
24_12_22_16_08_51,1290000,7830.38
24_12_22_16_20_51,1305000,9685.809
24_12_22_16_32_31,1320000,6115.2783
24_12_22_16_44_32,1335000,9220.373
24_12_22_16_56_30,1350000,9093.226
24_12_22_17_08_05,1365000,5135.6304
24_12_22_17_19_45,1380000,6168.409
24_12_22_17_31_35,1395000,7612.2603
24_12_22_17_43_32,1410000,9390.043
24_12_22_17_55_26,1425000,8617.904
24_12_22_18_07_23,1440000,8899.359
24_12_22_18_18_58,1455000,4754.9395
24_12_22_18_30_24,1470000,3326.0007
24_12_22_18_42_04,1485000,5512.089
24_12_22_18_54_03,1500000,9194.811
