wall_time,step,return
24_12_22_11_48_42,15000,9330.195
24_12_22_12_02_26,30000,9311.092
24_12_22_12_16_10,45000,9293.672
24_12_22_12_29_47,60000,9330.934
24_12_22_12_43_21,75000,9330.779
24_12_22_12_56_56,90000,9353.58
24_12_22_13_10_38,105000,9324.125
24_12_22_13_24_17,120000,9321.823
24_12_22_13_38_05,135000,9326.213
24_12_22_13_51_51,150000,9325.037
24_12_22_14_05_40,165000,9314.014
24_12_22_14_19_18,180000,9354.123
24_12_22_14_33_07,195000,9336.963
24_12_22_14_47_03,210000,9278.591
24_12_22_15_00_52,225000,9345.162
24_12_22_15_14_42,240000,9357.186
24_12_22_15_28_26,255000,9345.559
24_12_22_15_42_15,270000,9350.217
24_12_22_15_55_55,285000,9259.35
24_12_22_16_09_42,300000,9333.574
24_12_22_16_23_34,315000,9343.699
24_12_22_16_37_23,330000,9351.162
24_12_22_16_51_13,345000,9350.304
24_12_22_17_04_57,360000,9325.972
24_12_22_17_18_42,375000,9332.942
24_12_22_17_32_28,390000,9345.432
24_12_22_17_46_03,405000,9335.589
24_12_22_17_59_42,420000,9352.179
24_12_22_18_13_19,435000,9349.753
24_12_22_18_27_02,450000,9293.432
24_12_22_18_40_33,465000,8476.219
24_12_22_18_54_05,480000,8368.827
24_12_22_19_07_48,495000,9324.876
24_12_22_19_21_30,510000,9349.717
24_12_22_19_35_12,525000,9333.869
24_12_22_19_48_34,540000,8501.856
24_12_22_20_02_14,555000,9322.833
24_12_22_20_15_54,570000,9340.527
24_12_22_20_29_34,585000,9332.557
24_12_22_20_43_11,600000,9332.416
24_12_22_20_56_31,615000,7682.0264
24_12_22_21_09_42,630000,8455.884
24_12_22_21_23_17,645000,9332.018
24_12_22_21_36_28,660000,7598.6
24_12_22_21_50_10,675000,9343.939
24_12_22_22_03_26,690000,7396.0186
24_12_22_22_17_07,705000,9324.343
24_12_22_22_30_47,720000,9326.38
24_12_22_22_44_25,735000,9331.027
24_12_22_22_57_44,750000,8072.0967
24_12_22_23_11_04,765000,7664.289
24_12_22_23_24_35,780000,9330.402
24_12_22_23_38_16,795000,9336.761
24_12_22_23_51_53,810000,9357.01
24_12_23_00_05_23,825000,8548.371
24_12_23_00_19_05,840000,9329.4
24_12_23_00_32_42,855000,9329.934
24_12_23_00_46_23,870000,9334.417
24_12_23_00_59_43,885000,7795.3633
24_12_23_01_13_20,900000,9347.985
24_12_23_01_27_02,915000,9349.28
24_12_23_01_40_45,930000,9337.008
24_12_23_01_54_23,945000,9303.868
24_12_23_02_08_02,960000,9333.95
24_12_23_02_21_39,975000,9334.193
24_12_23_02_35_21,990000,9333.148
24_12_23_02_49_03,1005000,9334.405
24_12_23_03_02_33,1020000,8112.0767
24_12_23_03_16_12,1035000,9336.755
24_12_23_03_29_44,1050000,9328.22
24_12_23_03_43_22,1065000,9326.503
24_12_23_03_57_01,1080000,9320.57
24_12_23_04_10_33,1095000,9331.382
24_12_23_04_24_13,1110000,9319.339
24_12_23_04_37_48,1125000,9316.8125
24_12_23_04_51_23,1140000,9331.118
24_12_23_05_04_57,1155000,9327.408
24_12_23_05_18_36,1170000,9336.859
24_12_23_05_32_13,1185000,9327.785
24_12_23_05_45_50,1200000,9306.319
24_12_23_05_59_31,1215000,9346.991
24_12_23_06_13_08,1230000,9344.174
24_12_23_06_26_33,1245000,8569.3545
24_12_23_06_40_18,1260000,9355.407
24_12_23_06_53_55,1275000,9334.381
24_12_23_07_07_35,1290000,9353.4
24_12_23_07_21_17,1305000,9342.925
24_12_23_07_34_55,1320000,9336.905
24_12_23_07_48_35,1335000,9119.453
24_12_23_08_02_21,1350000,9329.184
24_12_23_08_15_55,1365000,8730.626
24_12_23_08_29_32,1380000,9338.266
24_12_23_08_43_14,1395000,9333.849
24_12_23_08_56_12,1410000,6090.877
24_12_23_09_09_52,1425000,9320.868
24_12_23_09_23_33,1440000,9338.99
24_12_23_09_37_09,1455000,9347.915
24_12_23_09_50_45,1470000,9306.033
24_12_23_10_04_19,1485000,9313.302
24_12_23_10_17_53,1500000,9353.315
