wall_time,step,return
24_12_22_11_53_46,15000,-59.89323
24_12_22_12_05_16,30000,-47.67553
24_12_22_12_16_41,45000,-44.437714
24_12_22_12_28_08,60000,-47.22906
24_12_22_12_39_32,75000,-51.584827
24_12_22_12_50_58,90000,-49.853367
24_12_22_13_02_29,105000,-48.713554
24_12_22_13_14_01,120000,-55.835747
24_12_22_13_25_17,135000,-39.933113
24_12_22_13_36_31,150000,-41.815853
24_12_22_13_47_41,165000,-57.89567
24_12_22_13_58_52,180000,-38.28141
24_12_22_14_10_11,195000,-42.00834
24_12_22_14_21_45,210000,-36.792805
24_12_22_14_33_08,225000,-50.94284
24_12_22_14_44_30,240000,-37.415638
24_12_22_14_55_55,255000,-35.855206
24_12_22_15_07_22,270000,-43.877792
24_12_22_15_18_45,285000,-39.100437
24_12_22_15_30_06,300000,-26.945211
24_12_22_15_41_29,315000,-26.433517
24_12_22_15_52_51,330000,-24.045042
24_12_22_16_04_13,345000,-24.053741
24_12_22_16_15_34,360000,-23.975187
24_12_22_16_26_55,375000,-23.225443
24_12_22_16_38_15,390000,-21.457884
24_12_22_16_49_36,405000,-22.553984
24_12_22_17_00_59,420000,-24.126171
24_12_22_17_12_19,435000,-24.452108
24_12_22_17_23_36,450000,-22.811834
24_12_22_17_34_59,465000,-22.08504
24_12_22_17_46_09,480000,-22.900015
24_12_22_17_57_31,495000,-23.28458
24_12_22_18_08_46,510000,-24.350471
24_12_22_18_20_02,525000,-22.880573
24_12_22_18_31_13,540000,-24.104233
24_12_22_18_42_22,555000,-22.625391
24_12_22_18_53_39,570000,-23.089275
24_12_22_19_04_47,585000,-28.091501
24_12_22_19_16_02,600000,-22.957409
24_12_22_19_27_12,615000,-20.762493
24_12_22_19_38_21,630000,-22.721834
24_12_22_19_49_36,645000,-22.126087
24_12_22_20_00_45,660000,-21.770466
24_12_22_20_12_04,675000,-24.00436
24_12_22_20_23_17,690000,-20.949318
24_12_22_20_34_31,705000,-20.519619
24_12_22_20_45_41,720000,-22.542463
24_12_22_20_56_44,735000,-20.238604
24_12_22_21_07_51,750000,-20.74496
24_12_22_21_19_05,765000,-20.207483
24_12_22_21_30_21,780000,-21.063807
24_12_22_21_41_29,795000,-21.40076
24_12_22_21_52_36,810000,-22.393734
24_12_22_22_03_47,825000,-37.10142
24_12_22_22_14_58,840000,-27.059982
24_12_22_22_26_09,855000,-23.29037
24_12_22_22_37_25,870000,-21.518833
24_12_22_22_48_34,885000,-22.532146
24_12_22_22_59_46,900000,-21.612965
24_12_22_23_10_59,915000,-34.386215
24_12_22_23_22_07,930000,-21.905773
24_12_22_23_33_16,945000,-22.522875
24_12_22_23_44_28,960000,-26.773228
24_12_22_23_55_41,975000,-22.03437
24_12_23_00_06_51,990000,-22.508554
24_12_23_00_17_59,1005000,-22.560886
24_12_23_00_29_09,1020000,-21.139877
24_12_23_00_40_21,1035000,-24.117147
24_12_23_00_51_29,1050000,-22.105068
24_12_23_01_02_37,1065000,-23.639378
24_12_23_01_13_47,1080000,-22.6003
24_12_23_01_24_55,1095000,-21.627764
24_12_23_01_36_10,1110000,-23.844555
24_12_23_01_47_19,1125000,-22.449793
24_12_23_01_58_29,1140000,-22.88879
24_12_23_02_09_35,1155000,-22.450462
24_12_23_02_20_38,1170000,-86.45968
24_12_23_02_31_50,1185000,-54.644753
24_12_23_02_42_59,1200000,-40.571884
24_12_23_02_54_09,1215000,-26.174414
24_12_23_03_05_24,1230000,-91.61701
24_12_23_03_16_32,1245000,-36.045364
24_12_23_03_27_40,1260000,-24.62239
24_12_23_03_38_47,1275000,-29.575794
24_12_23_03_49_52,1290000,-22.994442
24_12_23_04_01_00,1305000,-22.83604
24_12_23_04_12_10,1320000,-21.701738
24_12_23_04_23_20,1335000,-23.548504
24_12_23_04_34_29,1350000,-38.029778
24_12_23_04_45_40,1365000,-22.596073
24_12_23_04_56_50,1380000,-26.995663
24_12_23_05_08_00,1395000,-51.380196
24_12_23_05_19_15,1410000,-21.85613
24_12_23_05_30_31,1425000,-20.509369
24_12_23_05_41_42,1440000,-20.260351
24_12_23_05_52_51,1455000,-20.637543
24_12_23_06_04_02,1470000,-22.266033
24_12_23_06_15_13,1485000,-21.847488
24_12_23_06_26_22,1500000,-22.61823
