wall_time,step,return
24_12_22_11_56_47,15000,36.554665
24_12_22_12_10_36,30000,42.73037
24_12_22_12_24_23,45000,44.332867
24_12_22_12_38_13,60000,51.54403
24_12_22_12_51_57,75000,55.87959
24_12_22_13_05_44,90000,66.10506
24_12_22_13_19_26,105000,62.744743
24_12_22_13_32_52,120000,127.10399
24_12_22_13_46_22,135000,148.87335
24_12_22_13_59_48,150000,140.36081
24_12_22_14_13_39,165000,156.13954
24_12_22_14_27_20,180000,138.83252
24_12_22_14_41_05,195000,150.67056
24_12_22_14_54_55,210000,157.11778
24_12_22_15_08_47,225000,133.00113
24_12_22_15_22_42,240000,151.99448
24_12_22_15_36_51,255000,140.17014
24_12_22_15_51_01,270000,137.19899
24_12_22_16_05_13,285000,143.02222
24_12_22_16_19_22,300000,138.29788
24_12_22_16_33_30,315000,140.46545
24_12_22_16_47_43,330000,129.84586
24_12_22_17_01_53,345000,143.13522
24_12_22_17_16_07,360000,128.98415
24_12_22_17_30_21,375000,130.92377
24_12_22_17_44_38,390000,139.91617
24_12_22_17_58_51,405000,136.17212
24_12_22_18_13_06,420000,133.8096
24_12_22_18_27_00,435000,134.30063
24_12_22_18_40_59,450000,140.549
24_12_22_18_54_55,465000,140.58714
24_12_22_19_08_48,480000,143.25972
24_12_22_19_22_45,495000,135.91754
24_12_22_19_36_30,510000,118.12274
24_12_22_19_50_26,525000,136.92415
24_12_22_20_04_18,540000,136.62282
24_12_22_20_18_05,555000,132.54025
24_12_22_20_32_04,570000,126.80721
24_12_22_20_45_55,585000,113.731064
24_12_22_20_59_51,600000,137.58182
24_12_22_21_13_49,615000,126.059006
24_12_22_21_27_44,630000,141.22136
24_12_22_21_41_32,645000,134.77449
24_12_22_21_55_31,660000,124.798035
24_12_22_22_09_23,675000,132.46109
24_12_22_22_23_22,690000,130.19559
24_12_22_22_37_21,705000,130.52493
24_12_22_22_51_20,720000,121.60475
24_12_22_23_05_12,735000,135.82018
24_12_22_23_19_06,750000,130.52394
24_12_22_23_33_03,765000,128.43376
24_12_22_23_46_57,780000,126.46547
24_12_23_00_00_47,795000,124.109146
24_12_23_00_14_43,810000,127.67932
24_12_23_00_28_36,825000,134.66672
24_12_23_00_42_32,840000,131.93127
24_12_23_00_56_31,855000,125.30752
24_12_23_01_10_30,870000,114.5225
24_12_23_01_24_23,885000,121.067604
24_12_23_01_38_16,900000,129.73602
24_12_23_01_52_07,915000,127.281784
24_12_23_02_06_09,930000,124.10366
24_12_23_02_20_04,945000,124.726456
24_12_23_02_33_55,960000,122.172585
24_12_23_02_47_50,975000,127.76786
24_12_23_03_01_36,990000,126.815414
24_12_23_03_15_33,1005000,126.85494
24_12_23_03_29_30,1020000,123.185196
24_12_23_03_43_28,1035000,125.62703
24_12_23_03_57_25,1050000,123.67826
24_12_23_04_11_23,1065000,124.05424
24_12_23_04_25_20,1080000,129.36934
24_12_23_04_39_18,1095000,120.23592
24_12_23_04_53_14,1110000,129.80751
24_12_23_05_07_12,1125000,117.22603
24_12_23_05_21_10,1140000,124.70264
24_12_23_05_35_03,1155000,126.32725
24_12_23_05_48_54,1170000,127.52535
24_12_23_06_02_48,1185000,119.80801
24_12_23_06_16_46,1200000,128.68712
24_12_23_06_30_43,1215000,124.40654
24_12_23_06_44_36,1230000,124.94954
24_12_23_06_58_28,1245000,123.46427
24_12_23_07_12_26,1260000,124.99286
24_12_23_07_26_20,1275000,128.14024
24_12_23_07_39_54,1290000,116.79928
24_12_23_07_53_47,1305000,109.0463
24_12_23_08_07_45,1320000,119.403275
24_12_23_08_21_41,1335000,115.73916
24_12_23_08_35_33,1350000,110.440956
24_12_23_08_49_26,1365000,113.71543
24_12_23_09_03_17,1380000,117.62046
24_12_23_09_17_05,1395000,114.45831
24_12_23_09_31_00,1410000,115.91579
24_12_23_09_44_58,1425000,108.43046
24_12_23_09_58_49,1440000,108.77305
24_12_23_10_12_44,1455000,113.85158
24_12_23_10_26_38,1470000,112.493996
24_12_23_10_40_36,1485000,112.53719
24_12_23_10_54_35,1500000,115.0932
