wall_time,step,return
24_12_22_11_40_54,15000,172.42715
24_12_22_11_53_02,30000,1150.7557
24_12_22_12_06_18,45000,3842.6484
24_12_22_12_19_14,60000,3538.6763
24_12_22_12_32_13,75000,3747.854
24_12_22_12_45_23,90000,4047.673
24_12_22_12_58_29,105000,4043.3242
24_12_22_13_11_28,120000,3651.9048
24_12_22_13_24_38,135000,4304.9116
24_12_22_13_37_47,150000,4205.4414
24_12_22_13_51_08,165000,5061.13
24_12_22_14_04_22,180000,4224.371
24_12_22_14_17_42,195000,4996.0327
24_12_22_14_31_02,210000,4863.527
24_12_22_14_44_27,225000,5115.0864
24_12_22_14_57_10,240000,3019.5366
24_12_22_15_10_20,255000,4928.6025
24_12_22_15_23_30,270000,4301.471
24_12_22_15_36_34,285000,4209.4297
24_12_22_15_49_51,300000,4950.2905
24_12_22_16_03_10,315000,4999.9316
24_12_22_16_16_24,330000,4655.9556
24_12_22_16_29_48,345000,5178.41
24_12_22_16_42_49,360000,4023.1055
24_12_22_16_55_50,375000,4208.42
24_12_22_17_09_05,390000,4791.248
24_12_22_17_21_49,405000,3482.1375
24_12_22_17_34_43,420000,4078.2102
24_12_22_17_47_39,435000,3905.1133
24_12_22_18_00_59,450000,5779.585
24_12_22_18_13_40,465000,3918.4258
24_12_22_18_27_09,480000,5733.1865
24_12_22_18_40_20,495000,5068.829
24_12_22_18_53_48,510000,5734.205
24_12_22_19_06_12,525000,2275.7964
24_12_22_19_19_29,540000,5248.8296
24_12_22_19_32_46,555000,5150.0454
24_12_22_19_45_50,570000,4753.368
24_12_22_19_59_22,585000,6226.9233
24_12_22_20_12_45,600000,5778.8623
24_12_22_20_25_54,615000,4875.911
24_12_22_20_38_17,630000,2723.2483
24_12_22_20_51_22,645000,4743.126
24_12_22_21_04_47,660000,5976.815
24_12_22_21_18_06,675000,5702.001
24_12_22_21_31_27,690000,5472.9233
24_12_22_21_44_57,705000,5843.2856
24_12_22_21_58_38,720000,6166.493
24_12_22_22_12_07,735000,6225.034
24_12_22_22_25_37,750000,5064.008
24_12_22_22_39_22,765000,5447.477
24_12_22_22_53_15,780000,6385.7354
24_12_22_23_06_50,795000,5391.098
24_12_22_23_20_32,810000,6265.437
24_12_22_23_32_48,825000,899.4083
24_12_22_23_46_31,840000,5845.696
24_12_23_00_00_05,855000,5086.07
24_12_23_00_13_51,870000,6234.6504
24_12_23_00_27_32,885000,5834.659
24_12_23_00_40_52,900000,4063.0574
24_12_23_00_54_38,915000,6002.6724
24_12_23_01_08_05,930000,4906.1274
24_12_23_01_21_38,945000,5292.749
24_12_23_01_35_27,960000,6029.4233
24_12_23_01_49_14,975000,5959.4927
24_12_23_02_02_50,990000,5292.585
24_12_23_02_16_42,1005000,6009.4976
24_12_23_02_30_30,1020000,5542.9185
24_12_23_02_44_11,1035000,5629.918
24_12_23_02_57_32,1050000,4298.774
24_12_23_03_10_48,1065000,4007.187
24_12_23_03_24_35,1080000,6284.4697
24_12_23_03_37_59,1095000,4922.267
24_12_23_03_51_49,1110000,5819.122
24_12_23_04_05_39,1125000,6014.21
24_12_23_04_19_26,1140000,6318.715
24_12_23_04_33_14,1155000,6136.8423
24_12_23_04_47_00,1170000,5817.224
24_12_23_05_00_50,1185000,6175.0864
24_12_23_05_13_54,1200000,3654.8757
24_12_23_05_27_30,1215000,5488.452
24_12_23_05_41_17,1230000,5907.2446
24_12_23_05_54_43,1245000,4570.728
24_12_23_06_08_00,1260000,4598.412
24_12_23_06_21_47,1275000,6140.794
24_12_23_06_35_39,1290000,6258.6006
24_12_23_06_49_04,1305000,5289.0146
24_12_23_07_02_12,1320000,3712.9758
24_12_23_07_15_57,1335000,5558.7983
24_12_23_07_28_59,1350000,3746.9832
24_12_23_07_42_12,1365000,3780.2349
24_12_23_07_55_52,1380000,5197.1
24_12_23_08_09_12,1395000,4259.6963
24_12_23_08_22_38,1410000,4702.7583
24_12_23_08_36_18,1425000,5839.1045
24_12_23_08_50_13,1440000,6290.9316
24_12_23_09_03_41,1455000,4583.952
24_12_23_09_17_15,1470000,5329.8955
24_12_23_09_30_56,1485000,5586.0205
24_12_23_09_44_24,1500000,5131.75
